date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:57:58	79/79	------	200	untouched ('OK')	text/plain	etag:W/%224f-163e57f5f40%22	http://localhost:7200/robots.txt		(from )
05:57:58	13303/13303	------	200	untouched ('OK')	text/html	etag:W/%2233f7-ntongeh/1DYUJ+q4AwSxCOFKxBQ%22	http://localhost:7200/	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/index.html	(from )
05:57:59	12026/12026	---M--	200	added ('OK')	text/html	etag:W/%222efa-th2A4ZavQ8mTwXBrlGFiby6X21E%22	http://localhost:7200/about-us	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/about-us.html	(from http://localhost:7200/)
05:57:59	4521/4521	------	200	untouched ('')	image/png	etag:W/%2211a9-1649f036830%22	http://localhost:7200/apple-icon-57x57.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/apple-icon-57x57.png	(from http://localhost:7200/)
05:57:59	4855/4855	------	200	untouched ('')	image/png	etag:W/%2212f7-1649f036830%22	http://localhost:7200/apple-icon-60x60.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/apple-icon-60x60.png	(from http://localhost:7200/)
05:57:59	6048/6048	------	200	untouched ('')	image/png	etag:W/%2217a0-1649f036830%22	http://localhost:7200/apple-icon-72x72.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/apple-icon-72x72.png	(from http://localhost:7200/)
05:57:59	144/144	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Jul%202018%2023:57:59%20GMT	http://localhost:7200/about	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/about.5.delayed	(from http://localhost:7200/)
05:57:59	142/142	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Jul%202018%2023:57:59%20GMT	http://localhost:7200/faq	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/faq	(from http://localhost:7200/)
05:58:00	155/155	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Jul%202018%2023:58:00%20GMT	http://localhost:7200/terms-of-service	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/terms-of-service	(from http://localhost:7200/)
05:58:00	6508/6508	------	200	untouched ('')	image/png	etag:W/%22196c-1649f036830%22	http://localhost:7200/apple-icon-76x76.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/apple-icon-76x76.png	(from http://localhost:7200/)
05:58:00	153/153	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Jul%202018%2023:58:00%20GMT	http://localhost:7200/privacy-policy	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/privacy-policy	(from http://localhost:7200/)
05:58:00	161/161	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Jul%202018%2023:58:00%20GMT	http://localhost:7200/copyright-notification	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/copyright-notification	(from http://localhost:7200/)
05:58:00	11105/11105	------	200	untouched ('')	image/png	etag:W/%222b61-1649f036830%22	http://localhost:7200/apple-icon-114x114.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/apple-icon-114x114.png	(from http://localhost:7200/)
05:58:00	11858/11858	------	200	untouched ('')	image/png	etag:W/%222e52-1649f036830%22	http://localhost:7200/apple-icon-120x120.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/apple-icon-120x120.png	(from http://localhost:7200/)
05:58:00	15733/15733	------	200	untouched ('')	image/png	etag:W/%223d75-1649f036830%22	http://localhost:7200/apple-icon-144x144.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/apple-icon-144x144.png	(from http://localhost:7200/)
05:58:00	16963/16963	------	200	untouched ('')	image/png	etag:W/%224243-1649f036830%22	http://localhost:7200/apple-icon-152x152.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/apple-icon-152x152.png	(from http://localhost:7200/)
05:58:00	22140/22140	------	200	untouched ('')	image/png	etag:W/%22567c-1649f036830%22	http://localhost:7200/apple-icon-180x180.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/apple-icon-180x180.png	(from http://localhost:7200/)
05:58:00	24536/24536	------	200	untouched ('')	image/png	etag:W/%225fd8-1649f036830%22	http://localhost:7200/android-icon-192x192.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/android-icon-192x192.png	(from http://localhost:7200/)
05:58:00	2385/2385	------	200	untouched ('')	image/png	etag:W/%22951-1649f036830%22	http://localhost:7200/favicon-32x32.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/favicon-32x32.png	(from http://localhost:7200/)
05:58:00	8822/8822	------	200	untouched ('')	image/png	etag:W/%222276-1649f036830%22	http://localhost:7200/favicon-96x96.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/favicon-96x96.png	(from http://localhost:7200/)
05:58:00	1410/1410	------	200	untouched ('')	image/png	etag:W/%22582-1649f036830%22	http://localhost:7200/favicon-16x16.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/favicon-16x16.png	(from http://localhost:7200/)
05:58:00	720/720	------	200	untouched ('')	application/json	etag:W/%222d0-1649f036830%22	http://localhost:7200/manifest.json	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/manifest.json	(from http://localhost:7200/)
05:58:00	15733/15733	------	200	untouched ('')	image/png	etag:W/%223d75-1649f036830%22	http://localhost:7200/ms-icon-144x144.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/ms-icon-144x144.png	(from http://localhost:7200/)
05:58:00	140421/140421	------	200	untouched ('OK')	text/css	etag:%221523290490%22	https://stackpath.bootstrapcdn.com/bootstrap/4.1.0/css/bootstrap.min.css	C:/My%20Web%20Sites/http___localhost_7200_/stackpath.bootstrapcdn.com/bootstrap/4.1.0/css/bootstrap.min.css	(from http://localhost:7200/)
05:58:01	41065/41065	------	200	untouched ('OK')	text/css	etag:W/%22d61bfe9b56c13ecff5313ee3abb45e8b%22	https://use.fontawesome.com/releases/v5.0.13/css/all.css	C:/My%20Web%20Sites/http___localhost_7200_/use.fontawesome.com/releases/v5.0.13/css/all.css	(from http://localhost:7200/)
05:58:01	86927/86927	------	200	untouched ('')	application/javascript	etag:W/%225a637bd4-1538f%22	https://code.jquery.com/jquery-3.3.1.min.js	C:/My%20Web%20Sites/http___localhost_7200_/code.jquery.com/jquery-3.3.1.min.js	(from http://localhost:7200/)
05:58:01	2898/2898	------	200	untouched ('OK')	text/css	etag:W/%22b52-164a0105874%22	http://localhost:7200/one-page-wonder.css	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/one-page-wonder.css	(from http://localhost:7200/)
05:58:01	2975/2975	------	200	untouched ('OK')	text/css	etag:W/%22b9f-16392846bf0%22	http://localhost:7200/style.css	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/style.css	(from http://localhost:7200/)
05:58:01	8102/8102	------	200	untouched ('')	image/png	etag:W/%221fa6-1649f05f5fa%22	http://localhost:7200/img/Account-Optimizer.png	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/img/Account-Optimizer.png	(from http://localhost:7200/)
05:58:01	135394/135394	------	200	untouched ('')	image/jpeg	etag:W/%22210e2-1649ff38d6d%22	http://localhost:7200/img/home.jpg	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/img/home.jpg	(from http://localhost:7200/)
05:58:01	18354/18354	------	200	untouched ('OK')	text/html	etag:W/%2247b2-8qXzRYkdVdyKpRMyrX8ljzVwlks%22	http://localhost:7200/verified-neteller-and-bet365-account	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/verified-neteller-and-bet365-account.html	(from http://localhost:7200/)
05:58:01	54212/54212	------	200	untouched ('')	image/jpeg	etag:W/%22d3c4-1649f05f5e6%22	http://localhost:7200/img/02.jpg	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/img/02.jpg	(from http://localhost:7200/)
05:58:02	20495/20495	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4a7a-500f%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.0/umd/popper.min.js	C:/My%20Web%20Sites/http___localhost_7200_/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.0/umd/popper.min.js	(from http://localhost:7200/)
05:58:03	81076/81076	---M--	200	added ('OK')	image/jpeg	etag:W/%2213cb4-1649f05f5e2%22	http://localhost:7200/img/01.jpg	C:/My%20Web%20Sites/http___localhost_7200_/localhost_7200/img/01.jpg	(from http://localhost:7200/)
